Nombre Grupo;Links
[A] Material Vivo Animal y Vegetal;https://imagizer.imageshack.com/img924/3549/yR7Hfo.png
[B] Materias Primas;https://imagizer.imageshack.com/img924/81/o5eXhZ.png
[C] Maquinaria;https://imagizer.imageshack.com/img923/48/oyzSoc.png
[D] Componentes y Suministros;https://imagizer.imageshack.com/img923/9056/SKntVT.png
[E] Productos de Uso Final;https://imagizer.imageshack.com/img924/8770/6GHccv.png
[F] Servicios;https://imagizer.imageshack.com/img924/565/S6pyPu.png
[G] Terrenos;https://imagizer.imageshack.com/img923/1346/QVlvQR.png
